,location
5581,"58.266667000000005, 16.483333"
5583,"37.252526, -115.80041299999999"
5592,"49.850429999999996, -73.60517"
5621,"61.162048, -45.414388"
5633,"41.878114000000004, -87.629798"
5638,"0.0, 0.0"
5639,"39.088346, -96.813939"
5650,"32.350361, -108.708665"
5668,"34.59582, -120.137648"
5671,"46.996514000000005, -120.54784699999999"
5713,"43.801356, -91.239581"
5715,"36.555239, -121.92328799999999"
5723,"38.910841, -94.382172"
5726,"38.948959, -83.405746"
5728,"45.422257, -76.020319"
5741,"39.563109000000004, -84.638562"
5750,"41.38127, -71.708863"
5752,"41.193236999999996, -73.67757399999999"
5756,"31.968598999999998, -99.901813"
5758,"41.308274, -72.927883"
5773,"50.711164000000004, -2.4411810000000003"
5774,"50.711164000000004, -2.4411810000000003"
5780,"34.206818, -118.200028"
5782,"48.187056, -122.507847"
5787,"34.048928000000004, -111.093731"
5790,"36.091848999999996, 28.085665000000002"
5803,"12.879721, 121.77401699999999"
5817,"52.730854, 5.1521930000000005"
5825,"50.843196, 3.2347200000000003"
5827,"43.397796, -80.036428"
5829,"22.804567000000002, 86.202875"
5831,"41.122281, -80.33284300000001"
5847,"40.5725, -111.85972199999999"
5871,"42.665197, -82.92864300000001"
5872,"26.13, 50.555"
5874,"33.831675, -118.28169299999999"
5876,"36.9, -113.933333"
5913,"14.743885, 121.067552"
5915,"19.70595, -101.194982"
5916,"19.70595, -101.194982"
5917,"-33.137551, 81.826172"
5922,"29.369721999999996, 47.978333"
5927,"44.067344, -121.301189"
5928,"39.41, -105.32194399999999"
5940,"32.514947, -117.038247"
5942,"44.563889, 27.366111"
5945,"32.544416, -117.030123"
5950,"38.458943, -90.536513"
5955,"38.910841, -94.382172"
5959,"32.936446000000004, -80.024149"
5967,"45.932635, -118.387743"
5976,"46.94559, -67.892087"
5982,"0.0, 0.0"
5986,"0.0, 0.0"
5989,"38.675004, -90.14211999999999"
5993,"-26.316667, 113.33333300000001"
5997,"37.709677, -97.30845699999999"
6002,"0.0, 0.0"
6006,"53.829579, -2.597118"
6036,"34.048928000000004, -111.093731"
6048,"0.0, 0.0"
6054,"1.352083, 103.819836"
6067,"34.924031, -117.891208"
6068,"41.265988, 1.602034"
6072,"38.083403000000004, -122.763304"
6073,"40.177431, -74.629447"
6087,"41.673372, -87.508339"
6101,"35.050674, -82.703464"
6107,"40.335648, -75.926875"
6111,"39.728494, -121.837478"
6113,"38.965359, -89.417464"
6117,"35.730631, -78.859752"
6125,"40.822072, 140.747365"
6128,"33.744461, -118.38701699999999"
6143,"33.664876, -80.77786800000001"
6155,"38.953617, -94.733571"
6159,"49.9935, 36.230383"
6185,"42.20207, 25.324854000000002"
6190,"52.355518, -1.17432"
6235,"35.022871, -93.69991800000001"
6259,"41.334209, -82.674611"
6274,"41.668889, -87.820278"
6276,"41.436427, -70.607669"
