,location
9775,"-20.725229000000002, 139.497269"
9796,"0.0, 0.0"
9798,"27.917865000000003, -110.90893799999999"
9825,"12.52111, -69.968338"
9839,"-14.599413, -28.673146999999997"
9842,"-34.816666999999995, 140.216667"
9850,"41.123876, -8.611785000000001"
9857,"53.610420999999995, -0.96144"
9871,"-33.224584, 151.221857"
9886,"7.843899, 98.29361899999999"
9895,"51.127876, 1.313403"
9916,"23.3441, 85.309562"
9923,"52.466667, -1.916667"
9928,"-25.274398, 133.775136"
9932,"52.466667, -1.916667"
9941,"0.0, 0.0"
9969,"28.459497, 77.026638"
9971,"42.697708, 23.321868"
10008,"0.0, 0.0"
10071,"51.934731, 1.260297"
10082,"53.8, -2.233333"
10097,"53.7, -2.333333"
10151,"52.97894, -0.026576999999999996"
10152,"52.333333, -1.583333"
10156,"60.178525, 19.91561"
10158,"53.233332999999995, -0.533333"
10161,"53.479324, -2.248485"
10162,"52.466667, -1.916667"
10172,"52.664913, -1.034894"
10233,"0.0, 0.0"
10244,"-34.151467, 18.872973"
10257,"51.5, -3.2"
10299,"61.92411, 25.748151"
10325,"51.550908, -0.521463"
10332,"31.164806, 35.761882"
10336,"50.716667, 10.0"
10337,"-31.952240000000003, 115.861397"
10338,"27.0, 49.666667"
10342,"0.0, 0.0"
10358,"52.552888, -2.02208"
10360,"0.0, 0.0"
10369,"53.873712, -3.021371"
10376,"52.25, -0.883333"
10386,"20.671955999999998, -103.416501"
10387,"51.514125, -0.093689"
10388,"18.991706, -99.087069"
10390,"53.164868000000006, -4.359065"
10400,"57.65, -3.333333"
10403,"53.230688, -0.540579"
10423,"53.3, -3.3833330000000004"
10424,"51.514125, -0.093689"
10426,"-33.933333000000005, 138.166667"
10436,"12.971599000000001, 77.594563"
10444,"51.45, -2.583333"
10445,"50.45, -3.7166669999999997"
10451,"52.6, -2.0"
10452,"52.77131800000001, -1.554997"
10453,"52.416667, -1.55"
10454,"19.432608, -99.133208"
10463,"-38.17828, 146.260986"
10483,"50.716667, -1.8833330000000001"
10493,"37.949888, 27.370141999999998"
10495,"56.7438, 15.908681"
10505,"18.201346, -67.145152"
10512,"51.514125, -0.093689"
10515,"-40.225336, 175.56748000000002"
10517,"-27.471009999999996, 153.024292"
10528,"49.516667, 7.85"
10532,"51.633333, -3.9666669999999997"
10537,"50.833333, -0.15"
10570,"51.896892, -8.486316"
10605,"0.0, 0.0"
10614,"0.0, 0.0"
10624,"52.692122999999995, 6.193719000000001"
10729,"53.381129, -1.470085"
10942,"40.155312, 26.41416"
10943,"-37.136631, 142.520462"
10948,"41.481792999999996, 9.06108"
10950,"-37.813938, 144.963425"
10954,"52.355518, -1.17432"
10956,"53.7, -1.483333"
10967,"0.0, 0.0"
10968,"20.659538, -103.349438"
10970,"16.8, 96.15"
10984,"36.732719, -2.8861939999999997"
10999,"20.671955999999998, -103.416501"
11006,"12.971599000000001, 77.594563"
11007,"53.533333, -2.8"
11008,"26.498996999999996, -100.179692"
11013,"0.0, 0.0"
11075,"0.0, 0.0"
11093,"12.879721, 121.77401699999999"
11112,"-31.952240000000003, 115.861397"
11131,"0.0, 0.0"
11138,"31.866743, -116.59637099999999"
11183,"54.91194399999999, -1.383333"
11216,"-43.532053999999995, 172.636225"
11232,"52.466667, -1.916667"
11233,"34.772013, 32.429737"
11250,"50.85, -0.55"
11251,"51.9, -1.15"
11310,"-35.27603, 149.13435"
11344,"46.056946999999994, 14.505751"
11383,"55.45, -4.266667"
11384,"0.0, 0.0"
11406,"56.151116, -3.8546739999999997"
11498,"0.0, 0.0"
11500,"52.166667, 11.666667"
11508,"55.641909999999996, 12.087845"
11526,"55.61666700000001, -3.6166669999999996"
11536,"28.984462, 77.706414"
11538,"54.91194399999999, -1.383333"
11539,"54.766667000000005, -1.566667"
11545,"-37.813938, 144.963425"
11546,"29.097274, -110.98433899999999"
11555,"51.921667, 4.481111"
11558,"50.833333, -0.15"
11563,"0.0, 0.0"
11581,"53.758683999999995, 10.936472"
11582,"27.7, 85.333333"
11590,"52.33072, -0.905283"
11638,"51.216667, -0.566667"
11640,"0.0, 0.0"
11649,"43.710173, 7.261953"
11650,"51.35, 0.1"
11662,"-0.95, 100.35305600000001"
11665,"31.686175, 76.521309"
11712,"13.727896, 100.524123"
11737,"49.815273, 6.129583"
11749,"26.912416999999998, 75.787288"
11758,"60.938889, 26.797221999999998"
11778,"52.355518, -1.17432"
11787,"51.514125, -0.093689"
11817,"54.816667, -1.416667"
11832,"51.133333, 1.3"
11840,"-33.924868, 18.424055"
11843,"0.0, 0.0"
11851,"-26.093611, 28.006389000000002"
11856,"52.664913, -1.034894"
11867,"12.971599000000001, 77.594563"
11886,"13.083735, -59.529674"
11924,"26.216666999999998, 50.583333"
